,gameidx,move
0,674,"[3, 2, 3, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1]"
1,1934,"[2, 0, 0, 0, 0, 2, 2, 2, 2, 1, 3, 1, 1, 1, 1]"
2,825,"[1, 1, 1, 1, 1, 2, 2, 2, 2]"
3,3154,"[0, 1, 2, 2, 1, 2, 2]"
4,2710,"[0, 2, 2, 0, 0, 0]"
5,1357,"[1, 2, 2, 2, 2, 1]"
6,448,"[0, 2, 2, 2, 2, 0]"
7,3080,"[2, 2, 2, 2]"
8,1706,"[2, 2, 2, 2, 2, 1]"
9,301,"[0, 0, 0, 3, 3, 3, 3, 3, 2, 3]"
10,3095,"[2, 1, 1, 1, 1, 1]"
11,1051,"[0, 0, 3, 3, 3, 3, 1]"
12,1321,"[2, 2, 2, 1, 1, 1, 2, 2]"
13,2996,"[2, 2, 2, 0, 0, 2]"
14,2191,"[3, 3, 3, 3, 3]"
15,1697,[]
16,936,"[2, 2, 2, 2, 2, 1]"
17,1527,"[2, 2, 2, 0, 0, 0, 0]"
18,2294,"[0, 0, 3, 3, 3, 3]"
19,2966,"[2, 1, 1, 1, 1, 1, 3]"
20,2519,"[3, 3, 3, 3, 3]"
21,1171,"[0, 0, 3, 3, 3, 3]"
22,3270,"[2, 2, 2, 2, 0, 0]"
23,1912,"[0, 0, 0, 0, 0, 1, 3, 3, 3, 3, 0]"
24,996,"[3, 3, 0, 0, 0, 0, 3]"
25,1669,"[0, 3, 3, 3, 3, 3]"
26,129,"[2, 2, 1, 1, 1, 1, 1, 0, 3, 3, 3, 3, 3]"
27,1258,"[3, 1, 1, 1, 1, 1]"
28,743,"[1, 2, 1, 1, 1, 3, 3]"
29,1996,"[0, 0, 0, 0, 3, 3, 3, 3, 3]"
30,1670,"[2, 3, 3, 3, 0, 0, 0, 0, 0]"
31,2562,[]
32,2754,"[2, 2, 2, 2, 0, 0, 0, 0, 0]"
33,2421,"[1, 1, 1, 1, 1, 2, 2]"
34,1803,"[1, 1, 1, 1, 3]"
35,303,"[1, 2, 2, 2, 2, 0, 0, 0, 0]"
36,1576,"[1, 1, 1, 1, 3]"
37,589,"[2, 0, 0, 0, 0, 2, 0]"
38,235,"[2, 1, 1, 1, 2, 2, 2, 2]"
39,3044,"[3, 3, 3, 3, 1, 1]"
40,2124,"[1, 1, 1, 1, 2]"
41,3157,"[0, 3, 0, 3, 3, 3, 0, 0, 0, 3]"
42,1837,"[0, 0, 0, 0, 0, 3, 3, 3, 1]"
43,760,"[1, 1, 1, 1, 2, 2, 2, 2, 2]"
